Time (s),Speed (km/h),Altitude (km)
230.4,7236,140.5789
230.43,7237,140.6053
230.46,7238,140.6316
230.5,7238,140.6579
230.53,7239,140.6842
230.56,7239,140.7105
230.6,7240,140.7368
230.63,7240,140.7632
230.66,7241,140.7895
230.7,7242,140.8158
230.73,7242,140.8421
230.76,7243,140.8684
230.8,7243,140.8947
230.83,7244,140.9211
230.86,7244,140.9474
230.9,7245,140.9737
230.93,7245,141
230.96,7246,141.0278
231,7246,141.0556
231.03,7247,141.0833
231.06,7247,141.1111
231.1,7248,141.1389
231.13,7248,141.1667
231.16,7249,141.1944
231.2,7249,141.2222
231.23,7250,141.25
231.26,7251,141.2778
231.3,7251,141.3056
231.33,7252,141.3333
231.36,7253,141.3611
231.4,7253,141.3889
231.43,7254,141.4167
231.46,7254,141.4444
231.5,7255,141.4722
231.53,7256,141.5
231.56,7256,141.5278
231.6,7257,141.5556
231.63,7257,141.5833
231.67,7258,141.6111
231.7,7258,141.6389
231.73,7259,141.6667
231.77,7259,141.6944
231.8,7259,141.7222
231.83,7260,141.75
231.87,7261,141.7778
231.9,7262,141.8056
231.93,7262,141.8333
231.97,7263,141.8611
232,7263,141.8889
232.03,7264,141.9167
232.07,7264,141.9444
232.1,7265,141.9722
232.13,7266,142
232.17,7266,142.0278
232.2,7267,142.0556
232.23,7267,142.0833
232.27,7268,142.1111
232.3,7268,142.1389
232.33,7269,142.1667
232.37,7269,142.1944
232.4,7270,142.2222
232.43,7271,142.25
232.47,7271,142.2778
232.5,7272,142.3056
232.53,7272,142.3333
232.57,7273,142.3611
232.6,7274,142.3889
232.63,7274,142.4167
232.67,7275,142.4444
232.7,7275,142.4722
232.73,7276,142.5
232.77,7277,142.5278
232.8,7277,142.5556
232.83,7278,142.5833
232.87,7279,142.6111
232.9,7279,142.6389
232.93,7280,142.6667
232.97,7280,142.6944
233,7281,142.7222
233.03,7282,142.75
233.07,7282,142.7778
233.1,7283,142.8056
233.13,7283,142.8333
233.17,7284,142.8611
233.2,7284,142.8889
233.23,7285,142.9167
233.27,7285,142.9444
233.3,7286,142.9722
233.33,7287,143
233.37,7287,143.0256
233.4,7288,143.0513
233.43,7288,143.0769
233.47,7289,143.1026
233.5,7289,143.1282
233.53,7290,143.1538
233.57,7290,143.1795
233.6,7291,143.2051
233.63,7291,143.2308
233.67,7292,143.2564
233.7,7293,143.2821
233.73,7293,143.3077
233.77,7294,143.3333
233.8,7294,143.359
233.83,7295,143.3846
233.87,7295,143.4103
233.9,7295,143.4359
233.93,7296,143.4615
233.97,7297,143.4872
234,7297,143.5128
234.03,7298,143.5385
234.07,7298,143.5641
234.1,7299,143.5897
234.13,7299,143.6154
234.17,7300,143.641
234.2,7300,143.6667
234.23,7301,143.6923
234.27,7302,143.7179
234.3,7303,143.7436
234.33,7303,143.7692
234.37,7304,143.7949
234.4,7304,143.8205
234.43,7305,143.8462
234.47,7306,143.8718
234.5,7306,143.8974
234.53,7307,143.9231
234.57,7308,143.9487
234.6,7308,143.9744
234.63,7309,144
234.67,7309,144.0278
234.7,7310,144.0556
234.73,7310,144.0833
234.77,7311,144.1111
234.8,7311,144.1389
234.83,7312,144.1667
234.87,7313,144.1944
234.9,7313,144.2222
234.93,7314,144.25
234.97,7314,144.2778
235,7315,144.3056
235.04,7316,144.3333
235.07,7316,144.3611
235.1,7317,144.3889
235.14,7318,144.4167
235.17,7318,144.4444
235.2,7319,144.4722
235.24,7319,144.5
235.27,7320,144.5278
235.3,7321,144.5556
235.34,7321,144.5833
235.37,7322,144.6111
235.4,7322,144.6389
235.44,7323,144.6667
235.47,7324,144.6944
235.5,7324,144.7222
235.54,7325,144.75
235.57,7326,144.7778
235.6,7326,144.8056
235.64,7327,144.8333
235.67,7327,144.8611
235.7,7328,144.8889
235.74,7329,144.9167
235.77,7329,144.9444
235.8,7330,144.9722
235.84,7330,145
235.87,7331,145.0256
235.9,7331,145.0513
235.94,7332,145.0769
235.97,7332,145.1026
236,7332,145.1282
236.04,7333,145.1538
236.07,7334,145.1795
236.1,7334,145.2051
236.14,7339,145.2308
236.17,7335,145.2564
236.2,7336,145.2821
236.24,7336,145.3077
236.27,7337,145.3333
236.3,7337,145.359
236.34,7338,145.3846
236.37,7339,145.4103
236.4,7340,145.4359
236.44,7340,145.4615
236.47,7341,145.4872
236.5,7341,145.5128
236.54,7342,145.5385
236.57,7343,145.5641
236.6,7343,145.5897
236.64,7344,145.6154
236.67,7345,145.641
236.7,7345,145.6667
236.74,7346,145.6923
236.77,7347,145.7179
236.8,7347,145.7436
236.84,7348,145.7692
236.87,7348,145.7949
236.9,7349,145.8205
236.94,7350,145.8462
236.97,7350,145.8718
237,7351,145.8974
237.04,7351,145.9231
237.07,7352,145.9487
237.1,7352,145.9744
237.14,7353,146
237.17,7353,146.0256
237.2,7354,146.0513
237.24,7355,146.0769
237.27,7355,146.1026
237.3,7356,146.1282
237.34,7356,146.1538
237.37,7357,146.1795
237.4,7358,146.2051
237.44,7358,146.2308
237.47,7359,146.2564
237.5,7359,146.2821
237.54,7360,146.3077
237.57,7361,146.3333
237.6,7361,146.359
237.64,7362,146.3846
237.67,7362,146.4103
237.7,7363,146.4359
237.74,7363,146.4615
237.77,7364,146.4872
237.8,7364,146.5128
237.84,7365,146.5385
237.87,7366,146.5641
237.9,7366,146.5897
237.94,7367,146.6154
237.97,7367,146.641
238,7366,146.6667
238.04,7368,146.6923
238.07,7369,146.7179
238.1,7369,146.7436
238.14,7370,146.7692
238.17,7371,146.7949
238.2,7371,146.8205
238.24,7372,146.8462
238.27,7372,146.8718
238.3,7373,146.8974
238.34,7373,146.9231
238.37,7374,146.9487
238.41,7374,146.9744
238.44,7375,147
238.47,7376,147.0263
238.51,7376,147.0526
238.54,7377,147.0789
238.57,7378,147.1053
238.61,7378,147.1316
238.64,7379,147.1579
238.67,7380,147.1842
238.71,7380,147.2105
238.74,7381,147.2368
238.77,7382,147.2632
238.81,7382,147.2895
238.84,7383,147.3158
238.87,7383,147.3421
238.91,7384,147.3684
238.94,7384,147.3947
238.97,7385,147.4211
239.01,7385,147.4474
239.04,7386,147.4737
239.07,7387,147.5
239.11,7388,147.5263
239.14,7388,147.5526
239.17,7389,147.5789
239.21,7389,147.6053
239.24,7390,147.6316
239.27,7390,147.6579
239.31,7391,147.6842
239.34,7392,147.7105
239.37,7393,147.7368
239.41,7393,147.7632
239.44,7394,147.7895
239.47,7394,147.8158
239.51,7395,147.8421
239.54,7396,147.8684
239.57,7396,147.8947
239.61,7397,147.9211
239.64,7398,147.9474
239.67,7399,147.9737
239.71,7399,148
239.74,7400,148.0256
239.77,7400,148.0513
239.81,7401,148.0769
239.84,7402,148.1026
239.87,7402,148.1282
239.91,7403,148.1538
239.94,7404,148.1795
239.97,7404,148.2051
240.01,7405,148.2308
240.04,7405,148.2564
240.07,7406,148.2821
240.11,7406,148.3077
240.14,7407,148.3333
240.17,7407,148.359
240.21,7408,148.3846
240.24,7409,148.4103
240.27,7409,148.4359
240.31,7410,148.4615
240.34,7410,148.4872
240.37,7411,148.5128
240.41,7412,148.5385
240.44,7412,148.5641
240.47,7413,148.5897
240.51,7413,148.6154
240.54,7414,148.641
240.57,7415,148.6667
240.61,7415,148.6923
240.64,7416,148.7179
240.67,7416,148.7436
240.71,7417,148.7692
240.74,7417,148.7949
240.77,7418,148.8205
240.81,7418,148.8462
240.84,7419,148.8718
240.87,7420,148.8974
240.91,7421,148.9231
240.94,7421,148.9487
240.97,7422,148.9744
241.01,7422,149
241.04,7423,149.027
241.07,7423,149.0541
241.11,7424,149.0811
241.14,7425,149.1081
241.17,7426,149.1351
241.21,7426,149.1622
241.24,7427,149.1892
241.27,7428,149.2162
241.31,7428,149.2432
241.34,7429,149.2703
241.37,7429,149.2973
241.41,7430,149.3243
241.44,7431,149.3514
241.47,7432,149.3784
241.51,7432,149.4054
241.54,7433,149.4324
241.57,7433,149.4595
241.61,7434,149.4865
241.64,7434,149.5135
241.68,7435,149.5405
241.71,7435,149.5676
241.74,7436,149.5946
241.78,7437,149.6216
241.81,7438,149.6486
241.84,7438,149.6757
241.88,7439,149.7027
241.91,7440,149.7297
241.94,7440,149.7568
241.98,7441,149.7838
242.01,7441,149.8108
242.04,7442,149.8378
242.08,7443,149.8649
242.11,7443,149.8919
242.14,7444,149.9189
242.18,7445,149.9459
242.21,7445,149.973
242.24,7446,150
242.28,7446,150.025
242.31,7447,150.05
242.34,7448,150.075
242.38,7448,150.1
242.41,7449,150.125
242.44,7450,150.15
242.48,7450,150.175
242.51,7451,150.2
242.54,7452,150.225
242.58,7452,150.25
242.61,7453,150.275
242.64,7454,150.3
242.68,7454,150.325
242.71,7455,150.35
242.74,7455,150.375
242.78,7456,150.4
242.81,7456,150.425
242.84,7457,150.45
242.88,7457,150.475
242.91,7458,150.5
242.94,7459,150.525
242.98,7460,150.55
243.01,7460,150.575
243.04,7461,150.6
243.08,7462,150.625
243.11,7462,150.65
243.14,7463,150.675
243.18,7463,150.7
243.21,7464,150.725
243.24,7465,150.75
243.28,7465,150.775
243.31,7466,150.8
243.34,7467,150.825
243.38,7467,150.85
243.41,7468,150.875
243.44,7468,150.9
243.48,7469,150.925
243.51,7469,150.95
243.54,7470,150.975
243.58,7471,151
243.61,7471,151.0256
243.64,7472,151.0513
243.68,7473,151.0769
243.71,7473,151.1026
243.74,7474,151.1282
243.78,7474,151.1538
243.81,7475,151.1795
243.84,7476,151.2051
243.88,7476,151.2308
243.91,7477,151.2564
243.94,7477,151.2821
243.98,7478,151.3077
244.01,7479,151.3333
244.04,7479,151.359
244.08,7480,151.3846
244.11,7480,151.4103
244.14,7481,151.4359
244.18,7482,151.4615
244.21,7482,151.4872
244.24,7483,151.5128
244.28,7484,151.5385
244.31,7484,151.5641
244.34,7485,151.5897
244.38,7485,151.6154
244.41,7486,151.641
244.44,7487,151.6667
244.48,7487,151.6923
244.51,7488,151.7179
244.54,7489,151.7436
244.58,7489,151.7692
244.61,7490,151.7949
244.64,7490,151.8205
244.68,7491,151.8462
244.71,7491,151.8718
244.74,7492,151.8974
244.78,7493,151.9231
244.81,7494,151.9487
244.84,7495,151.9744
244.88,7495,152
244.91,7496,152.0263
244.94,7497,152.0526
244.98,7497,152.0789
245.01,7498,152.1053
245.05,7499,152.1316
245.08,7499,152.1579
245.11,7500,152.1842
245.15,7501,152.2105
245.18,7501,152.2368
245.21,7502,152.2632
245.25,7502,152.2895
245.28,7503,152.3158
245.31,7503,152.3421
245.35,7504,152.3684
245.38,7505,152.3947
245.41,7505,152.4211
245.45,7506,152.4474
245.48,7507,152.4737
245.51,7507,152.5
245.55,7508,152.5263
245.58,7508,152.5526
245.61,7509,152.5789
245.65,7510,152.6053
245.68,7511,152.6316
245.71,7511,152.6579
245.75,7512,152.6842
245.78,7513,152.7105
245.81,7513,152.7368
245.85,7514,152.7632
245.88,7515,152.7895
245.91,7515,152.8158
245.95,7516,152.8421
245.98,7517,152.8684
246.01,7518,152.8947
246.05,7518,152.9211
246.08,7519,152.9474
246.11,7520,152.9737
246.15,7520,153
246.18,7521,153.0238
246.21,7521,153.0476
246.25,7522,153.0714
246.28,7523,153.0952
246.31,7524,153.119
246.35,7524,153.1429
246.38,7525,153.1667
246.41,7525,153.1905
246.45,7526,153.2143
246.48,7526,153.2381
246.51,7527,153.2619
246.55,7528,153.2857
246.58,7528,153.3095
246.61,7529,153.3333
246.65,7530,153.3571
246.68,7530,153.381
246.71,7531,153.4048
246.75,7531,153.4286
246.78,7532,153.4524
246.81,7532,153.4762
246.85,7533,153.5
246.88,7534,153.5238
246.91,7535,153.5476
246.95,7535,153.5714
246.98,7536,153.5952
247.01,7536,153.619
247.05,7537,153.6429
247.08,7537,153.6667
247.11,7538,153.6905
247.15,7539,153.7143
247.18,7540,153.7381
247.21,7540,153.7619
247.25,7541,153.7857
247.28,7541,153.8095
247.31,7542,153.8333
247.35,7543,153.8571
247.38,7543,153.881
247.41,7544,153.9048
247.45,7545,153.9286
247.48,7545,153.9524
247.51,7546,153.9762
247.55,7547,154
247.58,7547,154.0256
247.61,7548,154.0513
247.65,7548,154.0769
247.68,7549,154.1026
247.71,7550,154.1282
247.75,7551,154.1538
247.78,7551,154.1795
247.81,7552,154.2051
247.85,7553,154.2308
247.88,7554,154.2564
247.91,7555,154.2821
247.95,7555,154.3077
247.98,7556,154.3333
248.01,7557,154.359
248.05,7558,154.3846
248.08,7558,154.4103
248.11,7559,154.4359
248.15,7559,154.4615
248.18,7560,154.4872
248.21,7561,154.5128
248.25,7561,154.5385
248.28,7562,154.5641
248.31,7562,154.5897
248.35,7563,154.6154
248.38,7564,154.641
248.42,7564,154.6667
248.45,7565,154.6923
248.48,7565,154.7179
248.52,7566,154.7436
248.55,7567,154.7692
248.58,7567,154.7949
248.62,7568,154.8205
248.65,7569,154.8462
248.68,7569,154.8718
248.72,7570,154.8974
248.75,7571,154.9231
248.78,7572,154.9487
248.82,7572,154.9744
248.85,7573,155
248.88,7574,155.0244
248.92,7574,155.0488
248.95,7575,155.0732
248.98,7576,155.0976
249.02,7576,155.122
249.05,7577,155.1463
249.08,7578,155.1707
249.12,7578,155.1951
249.15,7579,155.2195
249.18,7579,155.2439
249.22,7580,155.2683
249.25,7581,155.2927
249.28,7581,155.3171
249.32,7582,155.3415
249.35,7583,155.3659
249.38,7583,155.3902
249.42,7584,155.4146
249.45,7584,155.439
249.48,7585,155.4634
249.52,7585,155.4878
249.55,7586,155.5122
249.58,7587,155.5366
249.62,7588,155.561
249.65,7588,155.5854
249.68,7589,155.6098
249.72,7589,155.6341
249.75,7590,155.6585
249.78,7591,155.6829
249.82,7591,155.7073
249.85,7592,155.7317
249.88,7593,155.7561
249.92,7593,155.7805
249.95,7594,155.8049
249.98,7595,155.8293
250.02,7595,155.8537
250.05,7596,155.878
250.08,7597,155.9024
250.12,7597,155.9268
250.15,7598,155.9512
250.18,7599,155.9756
250.22,7599,156
250.25,7600,156.0256
250.28,7601,156.0513
250.32,7601,156.0769
250.35,7602,156.1026
250.38,7602,156.1282
250.42,7603,156.1538
250.45,7604,156.1795
250.48,7605,156.2051
250.52,7606,156.2308
250.55,7606,156.2564
250.58,7607,156.2821
250.62,7608,156.3077
250.65,7608,156.3333
250.68,7609,156.359
250.72,7610,156.3846
250.75,7611,156.4103
250.78,7611,156.4359
250.82,7612,156.4615
250.85,7613,156.4872
250.88,7613,156.5128
250.92,7614,156.5385
250.95,7614,156.5641
250.98,7615,156.5897
251.02,7616,156.6154
251.05,7617,156.641
251.08,7617,156.6667
251.12,7618,156.6923
251.15,7619,156.7179
251.18,7619,156.7436
251.22,7620,156.7692
251.25,7621,156.7949
251.28,7621,156.8205
251.32,7622,156.8462
251.35,7623,156.8718
251.38,7624,156.8974
251.42,7625,156.9231
251.45,7625,156.9487
251.48,7626,156.9744
251.52,7627,157
251.55,7627,157.025
251.58,7626,157.05
251.62,7629,157.075
251.65,7630,157.1
251.69,7630,157.125
251.72,7631,157.15
251.75,7632,157.175
251.79,7632,157.2
251.82,7633,157.225
251.85,7634,157.25
251.89,7634,157.275
251.92,7635,157.3
251.95,7636,157.325
251.99,7637,157.35
252.02,7637,157.375
252.05,7638,157.4
252.09,7639,157.425
252.12,7639,157.45
252.15,7640,157.475
252.19,7641,157.5
252.22,7641,157.525
252.25,7642,157.55
252.29,7643,157.575
252.32,7644,157.6
252.35,7644,157.625
252.39,7645,157.65
252.42,7646,157.675
252.45,7646,157.7
252.49,7647,157.725
252.52,7647,157.75
252.55,7648,157.775
252.59,7649,157.8
252.62,7649,157.825
252.65,7650,157.85
252.69,7651,157.875
252.72,7651,157.9
252.75,7652,157.925
252.79,7652,157.95
252.82,7653,157.975
252.85,7654,158
252.89,7654,158.0238
252.92,7655,158.0476
252.95,7655,158.0714
252.99,7656,158.0952
253.02,7656,158.119
253.05,7657,158.1429
253.09,7657,158.1667
253.12,7658,158.1905
253.15,7659,158.2143
253.19,7659,158.2381
253.22,7660,158.2619
253.25,7661,158.2857
253.29,7661,158.3095
253.32,7662,158.3333
253.35,7663,158.3571
253.39,7663,158.381
253.42,7664,158.4048
253.45,7665,158.4286
253.49,7666,158.4524
253.52,7667,158.4762
253.55,7667,158.5
253.59,7668,158.5238
253.62,7669,158.5476
253.65,7669,158.5714
253.69,7670,158.5952
253.72,7671,158.619
253.75,7672,158.6429
253.79,7673,158.6667
253.82,7673,158.6905
253.85,7674,158.7143
253.89,7674,158.7381
253.92,7675,158.7619
253.95,7676,158.7857
253.99,7676,158.8095
254.02,7677,158.8333
254.05,7678,158.8571
254.09,7679,158.881
254.12,7679,158.9048
254.15,7680,158.9286
254.19,7681,158.9524
254.22,7682,158.9762
254.25,7682,159
254.29,7683,159.0244
254.32,7684,159.0488
254.35,7685,159.0732
254.39,7685,159.0976
254.42,7686,159.122
254.45,7686,159.1463
254.49,7687,159.1707
254.52,7688,159.1951
254.55,7688,159.2195
254.59,7689,159.2439
254.62,7689,159.2683
254.65,7690,159.2927
254.69,7691,159.3171
254.72,7692,159.3415
254.75,7693,159.3659
254.79,7693,159.3902
254.82,7694,159.4146
254.85,7695,159.439
254.89,7695,159.4634
254.92,7696,159.4878
254.95,7697,159.5122
254.99,7698,159.5366
255.02,7698,159.561
255.06,7699,159.5854
255.09,7700,159.6098
255.12,7700,159.6341
255.16,7701,159.6585
255.19,7701,159.6829
255.22,7702,159.7073
255.26,7703,159.7317
255.29,7704,159.7561
255.32,7705,159.7805
255.36,7705,159.8049
255.39,7705,159.8293
255.42,7707,159.8537
255.46,7707,159.878
255.49,7707,159.9024
255.52,7709,159.9268
255.56,7709,159.9512
255.59,7710,159.9756
255.62,7711,160
255.66,7711,160.0238
255.69,7712,160.0476
255.72,7712,160.0714
255.76,7713,160.0952
255.79,7715,160.119
255.82,7715,160.1429
255.86,7715,160.1667
255.89,7717,160.1905
255.92,7717,160.2143
255.96,7718,160.2381
255.99,7719,160.2619
256.02,7719,160.2857
256.06,7720,160.3095
256.09,7720,160.3333
256.12,7721,160.3571
256.16,7722,160.381
256.19,7722,160.4048
256.22,7723,160.4286
256.26,7724,160.4524
256.29,7724,160.4762
256.32,7725,160.5
256.36,7726,160.5238
256.39,7726,160.5476
256.42,7727,160.5714
256.46,7727,160.5952
256.49,7729,160.619
256.52,7729,160.6429
256.56,7730,160.6667
256.59,7731,160.6905
256.62,7731,160.7143
256.66,7732,160.7381
256.69,7733,160.7619
256.72,7734,160.7857
256.76,7734,160.8095
256.79,7735,160.8333
256.82,7736,160.8571
256.86,7737,160.881
256.89,7737,160.9048
256.92,7738,160.9286
256.96,7739,160.9524
256.99,7740,160.9762
257.02,7740,161
257.06,7741,161.0238
257.09,7742,161.0476
257.12,7743,161.0714
257.16,7743,161.0952
257.19,7744,161.119
257.22,7745,161.1429
257.26,7745,161.1667
257.29,7746,161.1905
257.32,7747,161.2143
257.36,7747,161.2381
257.39,7748,161.2619
257.42,7749,161.2857
257.46,7750,161.3095
257.49,7751,161.3333
257.52,7751,161.3571
257.56,7752,161.381
257.59,7753,161.4048
257.62,7753,161.4286
257.66,7754,161.4524
257.69,7755,161.4762
257.72,7755,161.5
257.76,7756,161.5238
257.79,7757,161.5476
257.82,7757,161.5714
257.86,7758,161.5952
257.89,7758,161.619
257.92,7759,161.6429
257.96,7759,161.6667
257.99,7760,161.6905
258.02,7761,161.7143
258.06,7762,161.7381
258.09,7763,161.7619
258.12,7763,161.7857
258.16,7764,161.8095
258.19,7765,161.8333
258.22,7765,161.8571
258.26,7766,161.881
258.29,7767,161.9048
258.32,7768,161.9286
258.36,7768,161.9524
258.39,7769,161.9762
258.43,7770,162
258.46,7770,162.0238
258.49,7771,162.0476
258.53,7771,162.0714
258.56,7772,162.0952
258.59,7773,162.119
258.63,7774,162.1429
258.66,7774,162.1667
258.69,7775,162.1905
258.73,7776,162.2143
258.76,7776,162.2381
258.79,7777,162.2619
258.83,7777,162.2857
258.86,7778,162.3095
258.89,7779,162.3333
258.93,7780,162.3571
258.96,7781,162.381
258.99,7782,162.4048
259.03,7782,162.4286
259.06,7783,162.4524
259.09,7784,162.4762
259.13,7784,162.5
259.16,7785,162.5238
259.19,7786,162.5476
259.23,7787,162.5714
259.26,7787,162.5952
259.29,7788,162.619
259.33,7789,162.6429
259.36,7789,162.6667
259.39,7790,162.6905
259.43,7791,162.7143
259.46,7791,162.7381
259.49,7792,162.7619
259.53,7793,162.7857
259.56,7794,162.8095
259.59,7795,162.8333
259.63,7795,162.8571
259.66,7796,162.881
259.69,7797,162.9048
259.73,7797,162.9286
259.76,7798,162.9524
259.79,7799,162.9762
259.83,7800,163
259.86,7801,163.0233
259.89,7801,163.0465
259.93,7802,163.0698
259.96,7803,163.093
259.99,7804,163.1163
260.03,7804,163.1395
260.06,7805,163.1628
260.09,7806,163.186
260.13,7807,163.2093
260.16,7807,163.2326
260.19,7808,163.2558
260.23,7808,163.2791
260.26,7809,163.3023
260.29,7810,163.3256
260.33,7810,163.3488
260.36,7811,163.3721
260.39,7812,163.3953
260.43,7812,163.4186
260.46,7813,163.4419
260.49,7814,163.4651
260.53,7814,163.4884
260.56,7815,163.5116
260.59,7816,163.5349
260.63,7816,163.5581
260.66,7817,163.5814
260.69,7818,163.6047
260.73,7819,163.6279
260.76,7819,163.6512
260.79,7820,163.6744
260.83,7821,163.6977
260.86,7821,163.7209
260.89,7822,163.7442
260.93,7823,163.7674
260.96,7823,163.7907
260.99,7824,163.814
261.03,7825,163.8372
261.06,7826,163.8605
261.09,7827,163.8837
261.13,7828,163.907
261.16,7828,163.9302
261.19,7829,163.9535
261.23,7830,163.9767
261.26,7830,164
261.29,7832,164.0233
261.33,7832,164.0465
261.36,7833,164.0698
261.39,7834,164.093
261.43,7834,164.1163
261.46,7835,164.1395
261.49,7835,164.1628
261.53,7836,164.186
261.56,7837,164.2093
261.59,7838,164.2326
261.63,7839,164.2558
261.66,7839,164.2791
261.7,7840,164.3023
261.73,7841,164.3256
261.76,7842,164.3488
261.8,7842,164.3721
261.83,7843,164.3953
261.86,7844,164.4186
261.9,7845,164.4419
261.93,7846,164.4651
261.96,7846,164.4884
262,7847,164.5116
262.03,7847,164.5349
262.06,7848,164.5581
262.1,7849,164.5814
262.13,7849,164.6047
262.16,7850,164.6279
262.2,7851,164.6512
262.23,7852,164.6744
262.26,7853,164.6977
262.3,7853,164.7209
262.33,7854,164.7442
262.36,7855,164.7674
262.4,7856,164.7907
262.43,7856,164.814
262.46,7857,164.8372
262.5,7858,164.8605
262.53,7859,164.8837
262.56,7859,164.907
262.6,7860,164.9302
262.63,7860,164.9535
262.66,7861,164.9767
262.7,7861,165
262.73,7862,165.0244
262.76,7862,165.0488
262.8,7863,165.0732
262.83,7864,165.0976
262.86,7865,165.122
262.9,7866,165.1463
262.93,7867,165.1707
262.96,7868,165.1951
263,7868,165.2195
263.03,7869,165.2439
263.06,7870,165.2683
263.1,7871,165.2927
263.13,7872,165.3171
263.16,7872,165.3415
263.2,7873,165.3659
263.23,7874,165.3902
263.26,7874,165.4146
263.3,7875,165.439
263.33,7875,165.4634
263.36,7876,165.4878
263.4,7877,165.5122
263.43,7878,165.5366
263.46,7879,165.561
263.5,7880,165.5854
263.53,7880,165.6098
263.56,7881,165.6341
263.6,7882,165.6585
263.63,7883,165.6829
263.66,7883,165.7073
263.7,7885,165.7317
263.73,7885,165.7561
263.76,7886,165.7805
263.8,7887,165.8049
263.83,7888,165.8293
263.86,7888,165.8537
263.9,7889,165.878
263.93,7890,165.9024
263.96,7890,165.9268
264,7892,165.9512
264.03,7892,165.9756
264.06,7893,166
264.1,7894,166.0227
264.13,7895,166.0455
264.16,7895,166.0682
264.2,7896,166.0909
264.23,7897,166.1136
264.26,7897,166.1364
264.3,7899,166.1591
264.33,7899,166.1818
264.36,7900,166.2045
264.4,7901,166.2273
264.43,7902,166.25
264.46,7902,166.2727
264.5,7903,166.2955
264.53,7904,166.3182
264.56,7904,166.3409
264.6,7905,166.3636
264.63,7906,166.3864
264.66,7907,166.4091
264.7,7908,166.4318
264.73,7908,166.4545
264.76,7909,166.4773
264.8,7910,166.5
264.83,7910,166.5227
264.86,7911,166.5455
264.9,7912,166.5682
264.93,7913,166.5909
264.96,7913,166.6136
265,7914,166.6364
265.03,7915,166.6591
265.07,7915,166.6818
265.1,7916,166.7045
265.13,7916,166.7273
265.17,7917,166.75
265.2,7918,166.7727
265.23,7919,166.7955
265.27,7920,166.8182
265.3,7920,166.8409
265.33,7921,166.8636
265.37,7922,166.8864
265.4,7923,166.9091
265.43,7923,166.9318
265.47,7924,166.9545
265.5,7925,166.9773
265.53,7926,167
265.57,7926,167.0222
265.6,7927,167.0444
265.63,7927,167.0667
265.67,7928,167.0889
265.7,7928,167.1111
265.73,7929,167.1333
265.77,7929,167.1556
265.8,7930,167.1778
265.83,7931,167.2
265.87,7932,167.2222
265.9,7933,167.2444
265.93,7933,167.2667
265.97,7934,167.2889
266,7935,167.3111
266.03,7935,167.3333
266.07,7936,167.3556
266.1,7937,167.3778
266.13,7938,167.4
266.17,7939,167.4222
266.2,7940,167.4444
266.23,7941,167.4667
266.27,7941,167.4889
266.3,7942,167.5111
266.33,7943,167.5333
266.37,7944,167.5556
266.4,7945,167.5778
266.43,7945,167.6
266.47,7946,167.6222
266.5,7947,167.6444
266.53,7947,167.6667
266.57,7948,167.6889
266.6,7949,167.7111
266.63,7949,167.7333
266.67,7950,167.7556
266.7,7951,167.7778
266.73,7952,167.8
266.77,7953,167.8222
266.8,7953,167.8444
266.83,7954,167.8667
266.87,7955,167.8889
266.9,7955,167.9111
266.93,7956,167.9333
266.97,7957,167.9556
267,7958,167.9778
267.03,7959,168
267.07,7960,168.0227
267.1,7960,168.0455
267.13,7961,168.0682
267.17,7962,168.0909
267.2,7963,168.1136
267.23,7963,168.1364
267.27,7964,168.1591
267.3,7965,168.1818
267.33,7966,168.2045
267.37,7967,168.2273
267.4,7968,168.25
267.43,7969,168.2727
267.47,7969,168.2955
267.5,7970,168.3182
267.53,7971,168.3409
267.57,7971,168.3636
267.6,7973,168.3864
267.63,7973,168.4091
267.67,7974,168.4318
267.7,7975,168.4545
267.73,7976,168.4773
267.77,7976,168.5
267.8,7977,168.5227
267.83,7978,168.5455
267.87,7979,168.5682
267.9,7980,168.5909
267.93,7980,168.6136
267.97,7981,168.6364
268,7982,168.6591
268.03,7982,168.6818
268.07,7983,168.7045
268.1,7984,168.7273
268.13,7984,168.75
268.17,7985,168.7727
268.2,7986,168.7955
268.23,7987,168.8182
268.27,7987,168.8409
268.3,7988,168.8636
268.34,7989,168.8864
268.37,7989,168.9091
268.4,7990,168.9318
268.44,7991,168.9545
268.47,7991,168.9773
268.5,7992,169
268.54,7993,169.0222
268.57,7994,169.0444
268.6,7994,169.0667
268.64,7995,169.0889
268.67,7996,169.1111
268.7,7997,169.1333
268.74,7997,169.1556
268.77,7998,169.1778
268.8,7999,169.2
268.84,8000,169.2222
268.87,8000,169.2444
268.9,8001,169.2667
268.94,8002,169.2889
268.97,8003,169.3111
269,8003,169.3333
269.04,8004,169.3556
269.07,8005,169.3778
269.1,8005,169.4
269.14,8006,169.4222
269.17,8007,169.4444
269.2,8007,169.4667
269.24,8008,169.4889
269.27,8008,169.5111
269.3,8009,169.5333
269.34,8009,169.5556
269.37,8010,169.5778
269.4,8011,169.6
269.44,8012,169.6222
269.47,8013,169.6444
269.5,8013,169.6667
269.54,8014,169.6889
269.57,8015,169.7111
269.6,8016,169.7333
269.64,8016,169.7556
269.67,8018,169.7778
269.7,8019,169.8
269.74,8019,169.8222
269.77,8020,169.8444
269.8,8021,169.8667
269.84,8022,169.8889
269.87,8023,169.9111
269.9,8023,169.9333
269.94,8024,169.9556
269.97,8025,169.9778
270,8026,170
